N:	120
M:	2
L:	3
p1j:	23	43	17	57	69	56	63	89	94	58	73	39	97	83	79	13	31	84	67	67	15	2	57	14	41	42	92	68	65	4	5	85	64	98	42	32	78	67	57	59	47	43	33	89	76	23	39	15	93	49	70	29	59	45	44	3	51	50	19	4	9	56	49	50	37	33	46	4	40	37	84	50	11	52	70	61	49	82	46	23	43	56	58	88	52	46	31	78	12	69	68	44	35	96	59	74	26	4	13	63	17	95	64	71	79	59	80	54	19	80	64	97	89	85	76	84	81	9	23	26
p2j:	88	26	17	61	52	71	18	37	91	89	51	63	7	53	86	64	76	75	90	83	91	46	20	64	70	16	10	39	1	53	3	62	40	25	90	24	41	49	51	55	26	3	46	66	79	52	60	67	49	46	32	63	45	28	51	32	47	29	12	29	71	4	62	30	8	2	90	52	27	40	97	23	46	79	32	23	25	41	5	34	8	12	58	15	8	20	76	27	9	34	97	83	57	96	14	63	20	5	58	35	69	34	64	28	2	93	32	97	77	2	18	37	55	10	28	31	41	88	40	77
vl:	1.2	1	0.8
Conv_l:	1.25	1	0.74
IdleConv_i:	0.05	0.05
pi_i:	64	74
S1jk:
4	18	2	15	22	46	16	41	30	35	4	46	21	29	34	12	49	46	22	26	1	37	37	3	23	21	50	18	32	17	37	17	4	20	4	16	14	43	47	17	19	46	27	39	26	43	38	49	21	24	34	8	20	48	16	30	9	43	36	8	36	31	17	21	31	43	20	37	50	47	25	17	48	36	12	19	45	46	35	12	9	46	44	15	47	22	2	19	4	30	36	3	2	2	36	18	16	34	21	26	36	4	22	29	39	8	44	19	11	50	19	30	22	38	2	43	35	26	20	31
12	46	45	6	15	26	41	23	42	27	33	44	33	50	25	10	34	13	24	35	14	10	16	11	22	32	9	13	23	41	42	39	49	3	46	5	43	14	7	29	8	43	7	48	37	6	21	24	3	38	19	5	15	38	4	15	5	32	24	39	30	6	18	42	28	9	6	19	31	35	4	17	30	3	17	17	10	3	31	11	8	40	33	6	17	40	25	49	35	10	19	47	19	46	41	18	19	27	40	25	29	25	27	40	36	1	17	23	41	14	38	2	10	18	18	2	38	18	39	10
35	6	28	49	36	2	16	35	15	10	4	9	45	11	22	5	37	24	22	17	45	11	10	44	2	18	5	18	6	6	42	22	33	23	41	46	29	45	46	22	50	38	40	49	32	12	16	45	34	41	2	10	13	24	27	24	9	37	45	21	39	50	46	3	32	21	42	37	4	23	14	23	14	19	44	47	33	6	28	42	12	29	25	42	32	46	40	3	40	31	43	11	2	26	20	34	18	32	10	23	48	28	44	21	34	28	9	8	31	35	34	19	25	17	32	43	13	34	22	26
9	26	27	20	23	16	30	21	11	34	9	41	24	42	9	35	36	39	29	14	4	22	9	38	45	34	31	10	30	26	28	32	31	43	43	25	5	34	41	43	18	39	18	48	12	28	20	50	40	45	33	31	31	38	44	19	2	23	21	48	22	3	43	26	4	43	47	22	17	36	18	21	31	7	40	18	7	4	25	18	21	16	8	34	34	6	37	2	38	42	47	12	32	45	10	1	48	46	30	27	9	27	21	7	45	38	2	35	38	5	19	40	40	47	46	2	18	10	27	4
21	25	36	36	15	15	44	31	23	32	29	6	15	22	2	35	24	20	36	26	11	37	20	19	14	27	14	32	3	47	17	26	7	10	26	21	38	7	13	25	39	30	20	41	12	27	9	19	37	23	28	39	18	5	5	11	36	3	47	11	49	34	19	49	18	26	28	17	14	24	38	42	25	6	7	30	31	26	44	2	14	38	11	14	33	31	36	27	13	19	1	12	14	10	23	28	2	43	46	23	11	16	39	10	7	40	19	42	35	22	24	23	7	35	35	16	24	6	37	24
27	40	13	44	17	35	50	47	5	50	35	39	15	44	2	38	14	31	14	16	21	39	36	39	3	22	33	45	12	17	6	22	27	22	48	43	3	30	29	12	39	39	26	8	32	34	32	5	6	9	22	29	19	49	14	11	14	21	32	37	17	16	18	19	21	33	5	30	6	29	37	46	48	25	28	8	23	6	19	47	19	38	8	25	11	3	4	21	48	46	48	5	16	16	41	42	24	39	23	40	1	21	38	40	19	3	5	5	47	10	27	26	48	42	17	22	27	43	47	7
44	28	46	34	3	41	49	32	44	21	49	21	35	8	18	43	8	5	16	24	31	6	48	11	9	15	39	23	2	50	16	33	49	15	14	45	46	5	24	31	30	16	8	3	26	34	50	35	25	46	38	12	27	44	9	46	49	19	13	37	14	23	49	32	28	47	21	11	46	35	36	40	2	16	41	33	26	48	2	49	42	25	13	35	5	46	16	13	28	30	31	31	25	8	43	14	24	34	30	32	7	47	29	31	41	14	20	38	8	44	19	33	18	27	45	31	20	23	22	28
36	9	45	26	43	31	48	20	20	21	48	29	17	41	1	9	37	29	50	25	14	43	28	48	15	35	47	25	46	36	12	48	40	31	26	11	29	18	24	29	3	37	28	44	49	21	31	41	49	23	2	44	22	20	18	33	26	29	44	14	21	5	18	20	47	36	20	35	30	7	28	3	38	46	5	3	20	21	22	32	31	12	46	8	45	36	37	37	38	21	27	22	37	14	48	20	13	5	48	23	32	37	22	24	41	49	26	6	9	4	5	12	39	31	41	16	9	7	14	26
46	4	42	41	8	34	13	8	37	15	2	7	19	26	28	41	35	20	46	15	28	39	27	8	44	40	34	12	27	37	29	16	10	42	13	6	30	25	37	13	47	30	35	10	10	21	38	33	28	48	35	35	20	15	33	44	37	19	18	49	39	15	9	32	6	8	39	14	38	15	31	8	34	3	6	39	25	6	46	30	21	15	17	6	16	29	37	9	47	12	15	37	43	17	26	14	39	42	13	27	49	37	27	37	42	37	26	42	35	26	10	39	31	44	46	20	15	48	33	16
30	38	10	20	43	4	25	42	30	11	47	49	26	24	37	17	33	44	24	22	35	20	22	9	5	25	2	47	26	27	37	20	32	36	18	15	50	8	10	20	47	40	28	33	31	45	44	36	44	13	18	4	2	2	48	28	20	11	11	45	25	14	25	25	48	22	38	18	18	5	19	47	26	48	39	15	23	5	38	44	16	17	23	5	16	20	38	25	40	45	28	45	27	21	16	50	6	11	14	50	20	32	33	7	50	37	35	11	18	34	15	35	11	24	25	3	42	31	14	43
