N:	20
M:	2
L:	3
p1j:	13	87	31	95	6	64	61	42	80	77	56	23	53	72	20	83	67	53	26	59
p2j:	66	93	96	44	8	10	65	75	70	83	97	33	9	95	2	98	18	27	50	66
vl:	1.2	1	0.8
Conv_l:	1.25	1	0.55
IdleConv_i:	0.05	0.05
pi_i:	72	71
S1jk:
8	13	2	6	19	22	23	10	18	12	6	16	3	5	3	12	4	9	15	8
11	24	11	2	19	8	22	7	2	11	2	11	21	23	8	12	15	21	15	13
18	9	3	23	11	5	14	8	19	16	5	23	6	21	24	19	9	15	18	10
15	7	2	17	9	23	25	21	6	19	3	13	24	23	19	12	14	10	25	20
6	9	14	17	14	17	13	2	16	20	15	15	2	4	24	23	15	25	9	17
7	6	25	24	13	9	10	8	19	13	21	23	24	14	13	22	5	15	23	16
24	21	23	11	22	22	10	3	12	6	7	24	16	2	13	22	13	13	20	5
7	1	12	16	5	14	19	16	1	8	20	7	1	12	21	11	4	10	8	14
2	3	4	20	18	12	7	5	23	1	13	10	19	17	23	3	19	14	14	25
3	8	18	16	2	12	6	12	7	14	12	24	4	12	16	21	10	21	20	23
1	19	15	6	10	5	24	21	19	17	2	5	8	3	7	19	7	21	9	2
2	11	14	20	12	21	6	22	21	14	7	3	7	18	4	13	7	16	2	3
18	3	7	17	13	23	19	22	25	11	10	18	8	19	12	7	18	4	3	8
14	19	4	2	17	14	24	14	10	7	9	8	6	8	12	7	23	19	19	5
14	24	15	12	23	19	6	16	13	11	11	9	6	17	20	8	6	20	15	21
12	9	2	2	9	19	1	25	11	9	3	10	4	11	3	18	4	5	8	20
10	23	13	14	15	19	15	6	16	17	13	10	24	10	23	23	17	10	8	2
21	17	17	12	11	11	9	23	13	4	2	22	12	10	15	8	22	22	21	14
22	20	3	18	5	5	5	18	15	1	4	20	23	4	18	9	2	22	6	4
10	6	8	21	11	5	12	7	2	22	1	16	19	17	20	17	21	11	20	25
S2jk:
14	3	8	19	23	14	15	11	17	14	14	3	19	4	8	15	7	21	11	25
12	5	10	15	7	20	11	5	16	4	6	4	17	10	4	6	4	19	17	3
21	2	8	8	8	22	15	8	14	18	14	2	12	23	4	1	9	11	1	12
23	24	22	23	1	23	17	15	8	19	14	4	9	25	23	1	20	9	25	6
7	8	24	23	18	15	3	6	16	22	6	8	9	9	11	20	14	13	3	20
10	13	14	16	16	3	17	13	12	22	21	6	17	23	8	3	12	20	3	6
19	21	20	5	20	9	18	11	15	13	5	21	23	18	22	25	17	15	18	18
10	11	25	15	16	19	3	12	6	20	24	8	7	13	9	23	15	19	4	20
20	1	16	24	4	13	21	18	13	22	21	7	19	16	22	3	5	7	6	3
15	24	14	12	14	24	10	2	12	4	5	22	21	7	22	15	24	2	2	7
9	3	10	10	12	5	22	8	23	5	16	7	2	5	23	4	23	25	9	10
20	19	18	8	10	8	20	1	15	9	18	24	19	10	10	14	16	12	13	13
16	6	5	12	6	2	5	24	9	18	12	18	16	7	9	5	18	25	1	2
6	10	22	13	5	13	16	20	22	3	23	23	20	1	17	4	5	17	3	16
20	5	10	1	17	9	18	6	3	18	4	4	18	12	22	12	2	4	24	22
21	6	14	23	6	9	3	25	1	18	17	5	1	4	24	17	14	14	15	2
16	5	10	4	4	19	15	12	18	15	7	4	14	13	10	22	20	3	6	7
14	23	24	12	11	2	25	14	16	16	24	6	18	20	15	10	12	3	19	3
22	12	17	15	4	23	16	12	3	21	20	18	2	12	11	3	19	23	18	4
22	19	11	16	17	3	3	2	23	25	19	22	20	20	11	2	11	1	17	18
