N:	20
M:	2
L:	3
p1j:	79	69	32	72	41	51	93	72	53	52	41	92	17	67	14	9	47	26	88	72
p2j:	5	13	24	54	10	45	58	42	68	32	5	49	14	91	25	39	97	72	48	13
vl:	1.2	1	0.8
Conv_l:	1.08	1	0.59
IdleConv_i:	0.05	0.05
pi_i:	73	69
S1jk:
65	71	89	34	87	7	32	84	68	41	31	73	53	92	2	32	14	46	17	29
50	37	51	54	84	58	3	39	9	96	75	16	89	40	52	43	76	57	43	21
28	16	86	78	96	55	94	81	51	91	87	89	72	73	74	3	99	70	25	17
70	47	18	20	34	1	54	95	79	96	47	69	46	61	48	82	26	86	65	77
21	30	11	30	19	21	91	59	97	89	3	97	2	24	73	73	4	36	41	85
52	70	82	18	88	86	48	63	20	18	42	96	31	53	18	12	42	67	36	49
91	75	59	31	94	52	95	76	25	14	23	88	41	11	69	23	16	85	83	9
60	74	25	51	90	74	2	78	10	55	83	48	98	40	88	39	52	42	75	97
45	11	2	12	32	68	71	68	16	23	25	69	60	33	57	79	83	72	31	19
25	5	62	40	63	41	28	78	12	53	8	45	3	16	3	41	54	12	30	20
55	8	69	53	14	76	76	63	43	77	50	58	38	7	52	48	52	14	12	6
16	20	6	46	27	16	44	55	47	20	70	35	37	89	43	80	94	62	70	20
87	25	56	84	76	36	47	72	61	91	66	50	95	43	51	68	33	19	86	74
69	60	3	57	94	5	96	51	77	76	35	46	41	96	30	29	10	18	8	13
18	22	84	31	82	49	52	8	21	76	68	46	26	71	28	87	45	53	39	85
16	45	62	1	77	6	17	1	31	8	53	90	19	6	85	90	35	46	7	60
77	92	79	34	80	68	4	45	95	12	3	42	56	69	54	26	72	43	13	67
2	93	45	22	66	51	83	47	64	36	80	87	87	28	12	25	38	89	74	58
82	58	24	75	18	63	88	24	20	63	92	6	93	8	32	43	82	3	25	13
16	59	32	19	38	67	34	89	33	89	7	20	65	21	27	92	49	70	58	27
S2jk:
48	57	56	52	96	72	39	55	25	95	55	21	3	7	32	48	49	82	83	35
17	32	19	82	80	14	98	91	63	87	98	90	47	88	41	74	28	45	6	46
70	39	21	75	10	43	77	73	10	9	35	4	21	21	68	59	86	39	66	96
53	26	62	84	64	79	17	74	30	46	95	12	24	25	17	31	78	16	15	67
5	36	55	27	91	51	33	80	19	94	89	50	34	30	30	31	9	60	7	74
25	82	30	20	17	44	89	70	64	37	27	55	32	56	2	16	81	77	16	58
63	59	19	20	92	32	92	41	37	72	43	4	23	25	37	82	86	63	78	49
24	92	61	43	93	89	41	83	93	14	12	27	46	34	48	71	35	52	20	48
96	40	82	14	51	41	91	23	49	73	11	72	87	87	61	37	23	16	17	51
97	61	92	78	69	22	61	91	63	97	11	22	47	25	79	96	22	68	91	11
23	48	92	7	63	28	20	64	67	86	56	3	44	30	73	94	84	14	16	97
45	48	22	98	94	66	13	70	25	2	30	66	64	20	61	53	10	63	91	63
75	83	90	52	35	10	42	73	84	78	18	35	34	96	90	8	2	29	52	44
28	11	85	84	14	45	38	52	70	7	62	65	46	39	36	71	38	36	14	18
16	85	23	40	41	80	46	78	39	62	46	38	95	49	4	46	81	6	14	2
70	34	47	75	69	93	35	99	28	15	92	19	1	7	61	7	35	11	47	15
71	74	85	22	45	86	18	38	2	51	89	79	41	17	11	58	64	67	85	63
48	76	1	19	87	85	23	28	86	51	50	19	68	85	59	68	71	64	94	73
37	44	42	1	85	24	47	87	67	57	54	39	5	19	72	78	89	89	7	40
20	72	5	41	45	86	96	40	26	67	5	79	38	27	14	51	93	64	85	3
