alpha,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.99
0.68,1.01672,1.009927,1.01069,1.011085,1.000571,1.007372,0.996232,1.004521,1.003504
0.72,1.015255,1.002836,1.008971,1.007439,1.002065,1.001977,1.001825,0.999373,1.001207
0.76,1.008132,1.013227,1.005122,1.004493,1.013722,1.008004,1.012393,1.0109,1.013521
0.8,1.005965,1.004917,1.006051,1.013703,1.003303,1.018256,1.005527,0.998031,1.001672
0.84,1.015373,1.009304,1.009896,1.003098,1.013792,1.006564,1.007478,1.001335,1.010191
0.88,0.998269,1.003037,1.015673,1.014681,1.001626,1.000505,1.003035,1.013265,1.011487
0.92,1.008015,0.998996,1.012085,1.006921,1.014672,1.020185,1.001955,1.002297,1.001849
0.95,1.007023,1.006173,1.009509,1.0131,1.005197,1.009206,0.999487,1.009305,1.008524
0.99,1.013767,1.014406,1.028844,0.999001,0.99989,1.00237,0.996288,0.99923,0.996051
